title,rating,number_of_reviews,bought_in_last_month,total_price,listed_price,is_sponsored,is_couponed,buy_box_availability
"hp 63 black ink cartridge for hp printers | works with printer series: deskjet 1112, 2130, 3630; envy 4510, 4520; officejet 3830, 4650, 5200 | eligible for instant ink | f6u62an",4.7,94058,30000,30.99,35.64,0,no,1
"amazon basics full motion articulating tv monitor wall mount for 26"" to 55"" tvs and flat panels up to 80 lbs, black",4.6,51663,10000,22.99,24.58,0,no,1
"logitech c920x hd pro webcam, full hd 1080p/30fps video, clear audio, hd light correction, pc camera webcam, works with skype, zoom, facetime, pc, laptop, mac, tablet - black",4.6,20903,10000,59.99,69.99,0,no,1
"canon pg-275 / cl-276 genuine ink value pack (2 cartridges), compatible with ts3520/3522/4722/3720/3722, tr4720",4.6,18811,20000,34.99,39.99,0,no,1
"samsung galaxy buds 3 pro ai true wireless bluetooth earbuds, noise cancelling, sound optimization, redesigned comfort fit, silver [us version, amazon exclusive, 2yr warranty]",4.2,3209,10000,189.99,249.99,0,no,1
"lisen retractable car charger, 69w usb c car accessories adapter for iphone 16 usb c charger fast charging,gifts for women men, travel essentials, truck accessories, for iphone 16 pro max 15 14 13 12",4.6,10222,10000,16.99,27.99,0,no,1
"amazon basics dry erase markers for whiteboards, chisel tip, low-odor, assorted colors, pack of 12",4.6,33312,50000,69.95,69.95,0,no,0
"amazon basics stapler with 1000 staples, office stapler, 25 sheet capacity, non-slip, black",4.6,52607,50000,5.65,6.29,0,no,1
"epson ecotank et-2800 wireless color all-in-one cartridge-free supertank printer with scan and copy â€“ the ideal basic home printer - black, medium",4.2,13855,7000,189.99,239.99,0,no,1
"hp 63xl black high-yield ink cartridge | works with hp deskjet 1112, 2130, 3630 series; hp envy 4510, 4520 series; hp officejet 3830, 4650, 5200 series | eligible for instant ink | f6u64an",4.7,52857,10000,69.95,69.95,0,no,0
"hp 14 laptop, intel celeron n4020, 4 gb ram, 64 gb storage, 14-inch micro-edge hd display, windows 11 home, thin & portable, 4k graphics, one year of microsoft 365 (14-dq0040nr, snowflake white)",4.1,3818,10000,172.2,229.99,0,no,1
"dji mic mini (2 tx + 1 rx + charging case), wireless lavalier microphone for iphone/camera/android, ultralight, detail-rich audio, 48h use, noise cancelling, automatic limiting, vlog, streaming",4.7,4657,10000,139.5,169.0,0,no,1
"scotch heavy duty shipping packing tape, clear, shipping and packaging supplies, 1.88 in. x 54.6 yd., 6 tape rolls",4.8,15868,30000,16.98,32.29,0,no,1
"sandisk 256gb extreme microsdxc uhs-i memory card with adapter - up to 190mb/s, c10, u3, v30, 4k, 5k, a2, micro sd card - sdsqxav-256g-gn6ma",4.8,126587,10000,24.99,34.99,0,no,1
